Time (UTC),Open,High,Low,Close,Volume
2007.01.02 22:00:00,1.32709,1.3292,1.31478,1.31692,1672691.8
2007.01.03 22:00:00,1.31701,1.31797,1.30746,1.3082,1670328.6
2007.01.04 22:00:00,1.30817,1.31043,1.29814,1.30021,1671994.5
2007.01.07 22:00:00,1.30101,1.30359,1.29742,1.30217,1664880.8
2007.01.08 22:00:00,1.30225,1.30524,1.29866,1.30003,1665400.1
2007.01.09 22:00:00,1.30001,1.30041,1.29293,1.29369,1676132.7
2007.01.10 22:00:00,1.2938,1.30134,1.28823,1.28909,1669196.4
2007.01.11 22:00:00,1.28931,1.29433,1.28678,1.29238,1661424.6
2007.01.14 22:00:00,1.29235,1.2956,1.29135,1.29355,1661004.1
2007.01.15 22:00:00,1.29363,1.2989,1.29083,1.29193,1668602.6
2007.01.16 22:00:00,1.29172,1.29504,1.28983,1.29373,1664777.5
2007.01.17 22:00:00,1.29375,1.29772,1.28985,1.29619,1652778
2007.01.18 22:00:00,1.29638,1.3001,1.29142,1.29556,1658098.2
2007.01.21 22:00:00,1.29608,1.29779,1.29228,1.29488,1674429.3
2007.01.22 22:00:00,1.29482,1.30438,1.29297,1.30256,1666787.7
2007.01.23 22:00:00,1.30248,1.30369,1.29487,1.29704,1666770.3
2007.01.24 22:00:00,1.29693,1.30012,1.29149,1.29314,1662125
2007.01.25 22:00:00,1.29296,1.29448,1.28827,1.2917,1670645.9
2007.01.28 22:00:00,1.29163,1.29667,1.28959,1.29552,1647602.9
2007.01.29 22:00:00,1.29561,1.29811,1.29456,1.29697,1669545.3
2007.01.30 22:00:00,1.29685,1.30366,1.29253,1.30314,1680445.7
2007.01.31 22:00:00,1.30316,1.30496,1.30022,1.30216,1668410.9
2007.02.01 22:00:00,1.30208,1.30625,1.29495,1.29588,1665674.1
2007.02.04 22:00:00,1.29626,1.29664,1.29138,1.29271,1663364.2
2007.02.05 22:00:00,1.29277,1.29908,1.29113,1.29844,1670129
2007.02.06 22:00:00,1.29853,1.30242,1.29663,1.30097,1669032.4
2007.02.07 22:00:00,1.30108,1.30437,1.29774,1.30405,1662850.1
2007.02.08 22:00:00,1.30405,1.30462,1.29827,1.30073,1667196.4
2007.02.11 22:00:00,1.29906,1.30369,1.29412,1.29645,1691519.3
2007.02.12 22:00:00,1.29633,1.30435,1.29512,1.30378,1667669.2
2007.02.13 22:00:00,1.3037,1.31498,1.30235,1.31306,1666222.7
2007.02.14 22:00:00,1.31313,1.31732,1.31188,1.31395,1665668.3
2007.02.15 22:00:00,1.31387,1.31461,1.30968,1.31361,1666736.9
2007.02.18 22:00:00,1.3138,1.31636,1.31214,1.31566,1674862.4
2007.02.19 22:00:00,1.31535,1.31895,1.31282,1.31388,1666294.1
2007.02.20 22:00:00,1.31367,1.31669,1.3113,1.31388,1658221.2
2007.02.21 22:00:00,1.31362,1.31445,1.30813,1.31248,1655360.8
2007.02.22 22:00:00,1.31245,1.31873,1.31029,1.31637,1680455.1
2007.02.25 22:00:00,1.31666,1.31987,1.31501,1.31873,1666093.1
2007.02.26 22:00:00,1.31863,1.32588,1.31595,1.3241,1666901.4
2007.02.27 22:00:00,1.32423,1.32434,1.31799,1.32281,1663873.3
2007.02.28 22:00:00,1.3229,1.32399,1.3156,1.31856,1659414.8
2007.03.01 22:00:00,1.31841,1.32009,1.31428,1.31908,1665098.1
2007.03.04 22:00:00,1.31965,1.32119,1.30734,1.30882,1666273
2007.03.05 22:00:00,1.30882,1.31307,1.30795,1.31271,1661607.7
2007.03.06 22:00:00,1.31267,1.31855,1.31103,1.31758,1669056.7
2007.03.07 22:00:00,1.31753,1.31819,1.3117,1.313,1654738.4
2007.03.08 22:00:00,1.31289,1.31591,1.30878,1.31128,1664903.7
2007.03.11 21:00:00,1.31306,1.32006,1.31065,1.31902,1667122.3
2007.03.12 21:00:00,1.31903,1.32204,1.31557,1.31962,1663294.5
2007.03.13 21:00:00,1.31942,1.32451,1.31772,1.32213,1669840
2007.03.14 21:00:00,1.32245,1.32522,1.31935,1.32367,1661457.1
2007.03.15 21:00:00,1.32368,1.33394,1.32293,1.33136,1657697.7
